"id";"COD_VENDEDOR";"ano";"mes";"tipo";"valor_meta";"data_criacao";"data_atualizacao"
"571";"010358";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"572";"010358";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"573";"010358";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"574";"010358";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"575";"010358";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"576";"010358";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"601";"010371";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"602";"010371";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"603";"010371";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"604";"010371";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"605";"010371";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"606";"010371";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"607";"010371";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"608";"010371";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"609";"010371";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"610";"010371";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"611";"010371";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"612";"010371";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"625";"010381";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"626";"010381";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"627";"010381";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"628";"010381";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"629";"010381";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"630";"010381";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"631";"010381";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"632";"010381";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"633";"010381";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"634";"010381";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"635";"010381";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"636";"010381";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:45";"18/05/2026 16:36:00"
"649";"010389";"2026";"1";"faturamento";"20000,00";"13/02/2026 09:35:45";"06/03/2026 09:44:18"
"650";"010389";"2026";"2";"faturamento";"20000,00";"13/02/2026 09:35:45";"06/03/2026 09:44:18"
"651";"010389";"2026";"3";"faturamento";"20000,00";"13/02/2026 09:35:45";"06/03/2026 09:44:18"
"652";"010389";"2026";"4";"faturamento";"20000,00";"13/02/2026 09:35:45";"06/03/2026 09:44:18"
"653";"010389";"2026";"5";"faturamento";"60000,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"654";"010389";"2026";"6";"faturamento";"320000,00";"13/02/2026 09:35:45";"17/06/2026 16:17:21"
"655";"010389";"2026";"7";"faturamento";"60000,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
