"cod_municipio";"pea_total";"ano_base_pea";"populacao";"ano_base_pop";"pib_total_reais";"ano_base_pib";"num_supermercados";"supermercados_pessoal_ocupado";"supermercados_massa_salarial_reais";"ano_base_supermercados";"atualizado_em"
"1303809";"10997,00";"2010";"51795,00";"2022";"511307000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1303908";"12544,00";"2010";"32967,00";"2022";"328404000,00";"2022";"5";"14";"195000,00";"2024";"21/07/2026 15:42:53"
"1303957";"4426,00";"2010";"11670,00";"2022";"129935000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1304005";"3093,00";"2010";"11559,00";"2022";"378318000,00";"2022";"3";"2";"0,00";"2024";"21/07/2026 15:42:53"
"1304062";"19132,00";"2010";"66764,00";"2022";"824249000,00";"2022";"10";"26";"294000,00";"2024";"21/07/2026 15:42:53"
"1304104";"8171,00";"2010";"19599,00";"2022";"279445000,00";"2022";"7";"7";"0,00";"2024";"21/07/2026 15:42:53"
"1304203";"22161,00";"2010";"73669,00";"2022";"1386545000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1304237";"5678,00";"2010";"19247,00";"2022";"202743000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1304260";"5018,00";"2010";"14431,00";"2022";"250157000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1304302";"6169,00";"2010";"18631,00";"2022";"220398000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1304401";"6968,00";"2010";"23945,00";"2022";"262906000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1400027";"1904,00";"2010";"13927,00";"2022";"300390000,00";"2022";"3";"4";"59000,00";"2024";"21/07/2026 15:42:53"
"1400050";"5910,00";"2010";"21096,00";"2022";"700058000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1400100";"135995,00";"2010";"413486,00";"2022";"15213966000,00";"2022";"86";"3779";"95455000,00";"2024";"21/07/2026 15:42:53"
"1400159";"4041,00";"2010";"13923,00";"2022";"705965000,00";"2022";"7";"20";"277000,00";"2024";"21/07/2026 15:42:53"
"1400175";"4540,00";"2010";"18682,00";"2022";"405868000,00";"2022";"3";"4";"0,00";"2024";"21/07/2026 15:42:53"
"1400209";"6972,00";"2010";"20957,00";"2022";"530515000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1400233";"3509,00";"2010";"10656,00";"2022";"276635000,00";"2022";"10";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1400282";"3453,00";"2010";"10023,00";"2022";"235247000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1400308";"5174,00";"2010";"18095,00";"2022";"481025000,00";"2022";"4";"31";"578000,00";"2024";"21/07/2026 15:42:53"
"1400407";"2831,00";"2010";"13986,00";"2022";"270720000,00";"2022";"3";"4";"18000,00";"2024";"21/07/2026 15:42:53"
"1400456";"3599,00";"2010";"19305,00";"2022";"393278000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1400472";"10353,00";"2010";"32647,00";"2022";"828529000,00";"2022";"7";"70";"1016000,00";"2024";"21/07/2026 15:42:53"
"1400506";"3141,00";"2010";"8858,00";"2022";"343559000,00";"2022";"5";"19";"410000,00";"2024";"21/07/2026 15:42:53"
"1400605";"2222,00";"2010";"7315,00";"2022";"192540000,00";"2022";"4";"17";"259000,00";"2024";"21/07/2026 15:42:53"
"1400704";"2864,00";"2010";"13751,00";"2022";"217047000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1500107";"57993,00";"2010";"158188,00";"2022";"2193300000,00";"2022";"7";"125";"2225000,00";"2024";"21/07/2026 15:42:53"
"1500131";"2777,00";"2010";"6136,00";"2022";"126585000,00";"2022";"3";"15";"184000,00";"2024";"21/07/2026 15:42:53"
"1500206";"22695,00";"2010";"59023,00";"2022";"1242612000,00";"2022";"4";"13";"105000,00";"2024";"21/07/2026 15:42:53"
"1500305";"11234,00";"2010";"37765,00";"2022";"539303000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1500347";"9561,00";"2010";"18080,00";"2022";"848598000,00";"2022";"11";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1500404";"19679,00";"2010";"69377,00";"2022";"919276000,00";"2022";"6";"10";"121000,00";"2024";"21/07/2026 15:42:53"
"1500503";"14260,00";"2010";"34280,00";"2022";"687485000,00";"2022";"6";"33";"630000,00";"2024";"21/07/2026 15:42:53"
"1500602";"45323,00";"2010";"126279,00";"2022";"3457957000,00";"2022";"28";"388";"13075000,00";"2024";"21/07/2026 15:42:53"
"1500701";"8096,00";"2010";"28011,00";"2022";"304791000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1500800";"225162,00";"2010";"478778,00";"2022";"9983645000,00";"2022";"15";"1838";"52033000,00";"2024";"21/07/2026 15:42:53"
"1500859";"9605,00";"2010";"31850,00";"2022";"687043000,00";"2022";"18";"71";"890000,00";"2024";"21/07/2026 15:42:53"
"1500909";"12894,00";"2010";"44573,00";"2022";"405345000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1500958";"7733,00";"2010";"23774,00";"2022";"340027000,00";"2022";"3";"20";"337000,00";"2024";"21/07/2026 15:42:53"
"1501006";"5925,00";"2010";"18290,00";"2022";"186422000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501105";"8617,00";"2010";"31892,00";"2022";"277458000,00";"2022";"3";"6";"98000,00";"2024";"21/07/2026 15:42:53"
"1501204";"15141,00";"2010";"51641,00";"2022";"694648000,00";"2022";"3";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501253";"1436,00";"2010";"4031,00";"2022";"138929000,00";"2022";"5";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501303";"42597,00";"2010";"126650,00";"2022";"8408789000,00";"2022";"12";"27";"294000,00";"2024";"21/07/2026 15:42:53"
"1501402";"663589,00";"2010";"1303403,00";"2022";"37604333000,00";"2022";"58";"25562";"690933000,00";"2024";"21/07/2026 15:42:53"
"1501451";"5751,00";"2010";"18099,00";"2022";"340703000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1501501";"22740,00";"2010";"63567,00";"2022";"2700819000,00";"2022";"4";"0";"0,00";"2024";"21/07/2026 15:42:53"
